title,University,Degree,Fees
Embedded Systems Engineering,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Embedded Systems Engineering,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Business Psychology,Media University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","42,627,715 IRR / module"
Data Science and Business Analytics,Stuttgart Media University (HdM),M.Sc. / Part-time / Blended,"442,561,896 IRR / year"
Photonics,FH Münster University of Applied Sciences,M.Sc. / Full-time / On Campus,"26,438,763 IRR / year"
Specialized Orthodontics,University of Duisburg-Essen,M.Sc. / Full-time / On Campus,"892,308,238 IRR / year"
Facility Management,Technische Hochschule Nürnberg,Master / Part-time / Online,"349,643,056 IRR / year"
International Business Management,Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"742,392,791 IRR / year"
Physics,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Computational Neuroscience,TU Berlin,M.Sc. / Full-time / On Campus,Free
Nanotechnology,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Software Technology,University of Applied Sciences Stuttgart,"M.Sc. / Full-time, Part-time / On Campus","143,688,927 IRR / year"
Artificial Intelligence and Robotics,Hof University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
InterMaths Erasmus Mundus Joint Master (Interdisciplinary Mathematics),University of L´Aquila,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Chemistry,University of Konstanz,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Information Technology (part-time),Ostwestfalen - Lippe University of Applied Sciences,M.Sc. / Part-time / On Campus,Free
Applied Statistics,Trier University,M.Sc. / Full-time / On Campus,Free
Resources Engineering (EMerald),EIT RawMaterials Academy,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
Biology,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
"Development, Environment, Societies, and History of South Asia",Heidelberg University,"M.A. / Full-time, Part-time / On Campus","143,688,927 IRR / year"
Economics,University of Regensburg,M.Sc. / Full-time / On Campus,Free
Data Science,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Photovoltaics Engineering Science,Anhalt University of Applied Sciences,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Data Science,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,"1,159,090,680 IRR / year"
Mathematics in Data Science,Technical University of Munich,M.Sc. / Full-time / On Campus,"28,258,822 IRR / year"
"Data Science, AI and Digital Business - International Business Management Double Degree",Gisma University of Applied Sciences,M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Automotive Software Engineering,Chemnitz University of Technology,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Web Science,TH Köln (University of Applied Sciences),M.Sc. / Part-time / On Campus,Free
Mechanical Engineering,Technical University of Munich,Master / Full-time / On Campus,Free
Urban Ecosystem Sciences,TU Berlin,M.Sc. / Full-time / On Campus,"209,699,855 IRR / year"
Medical Systems Engineering,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Global Finance and Economics,Goethe Business School,M.Sc. / Full-time / On Campus,"957,926,182 IRR / year"
Software Engineering,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"1,092,035,847 IRR / year"
Advanced Materials,Constructor University,M.Sc. / Full-time / On Campus,Free
Bioanalytical Chemistry and Pharmaceutical Analysis,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Commercial Vehicle Technology,University of Kaiserslautern-Landau,Master / Full-time / On Campus,"32,665,283 IRR / year"
Embedded Systems,Saarland University,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
Cyber Security,The Brandenburg University of Technology Cottbus - Senftenberg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Mathematics,University of Kassel,M.Sc. / Full-time / On Campus,Free
Psychology,International Psychoanalytic University Berlin (IPU Berlin),M.A. / Full-time / On Campus,"622,652,018 IRR / year"
Geodesy and Geoinformation,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
International Dual Degree - International Finance and Investments,Hochschule Bremen - International Graduate Center,M.B.A. / Full-time / On Campus,"366,406,765 IRR / year"
Scientific Computing,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Quantum Engineering,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Computational Engineering - Double Degree USI,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Mathematics,University of Bremen,M.Sc. / Full-time / On Campus,Free
Molecular Systems Science and Engineering,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Distributed Software Systems,Darmstadt University of Technology,"M.Sc. / Full-time, Part-time / On Campus",Free
Digitalization and Automation,PFH Private University of Applied Sciences,M.Sc. / Full-time / On Campus,"517,280,138 IRR / year"
Mathematics for Data and Resource Sciences,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,Free
Environmental Sciences,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Media Architecture,Bauhaus University Weimar,M.Sc. / Full-time / On Campus,Free
Intelligent Interactive Systems,Bielefeld University,Master / Full-time / On Campus,Free
Sports Medical Training and Clinical Exercise Physiology,Goethe University Frankfurt,M.A. / Full-time / On Campus,Free
Lightweight Engineering and Composites,PFH Private University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","689,706,851 IRR / year"
International Media Architecture Master Studies,Bauhaus University Weimar,Master / Full-time / On Campus,Free
Intelligent Systems,University of Applied Sciences Ulm,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Management,WHU - Otto Beisheim School of Management,M.Sc. / Full-time / On Campus,"1,083,797,682 IRR / year"
Geodesy and Geoinformation Science,TU Berlin,M.Sc. / Full-time / On Campus,Free
Computational Biology,University of Cologne,M.Sc. / Full-time / On Campus,Free
Geodesy and Geoinformation Science,TU Berlin,M.Sc. / Full-time / On Campus,Free
Nuclear Applications,FH Aachen - University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Quantum Technologies in Electrical and Computer Engineering,Braunschweig University of Technology,Master / Full-time / On Campus,Free
