title,University,Degree,Fees
Biology,Carl von Ossietzky University of Oldenburg,Master / Full-time / On Campus,"38,317,047 IRR / year"
Integrated Immunology,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Innovation Management,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
Theoretical and Mathematical Physics,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Physics,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Space Engineering,University of Bremen,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Physics,Saarland University,M.Sc. / Full-time / On Campus,Free
Environmental Engineering,Hamburg University of Technology,M.Sc. / Full-time / On Campus,Free
Chemical Biology,TU Dortmund University,M.Sc. / Full-time / On Campus,Free
Transportation Economics,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
Meteorology,Goethe University Frankfurt,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Infrastructure Planning,University of Stuttgart,M.Sc. / Full-time / On Campus,Free
European and East Asian Governance,Trier University,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Biochemistry,University of Tübingen,M.Sc. / Full-time / On Campus,"589,124,602 IRR / year"
Management International Triple Degree,Ludwig-Maximilians-University (LMU) Munich,Master / Full-time / On Campus,Free
Infrastructure Planning,University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
European and East Asian Governance,Trier University,M.A. / Full-time / On Campus,Free
Integrated Urban Development and Design - Reflective Urban Practice,Bauhaus University Weimar,M.Sc. / Full-time / On Campus,Free
Japanese Studies,Heidelberg University,"M.A. / Full-time, Part-time / On Campus","143,688,927 IRR / year"
"Sustainability, Society and the Environment",University of Kiel,M.Sc. / Full-time / On Campus,Free
Pharmaceutical Research,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Integrated Urbanism and Sustainable Design,University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Labour Policies and Globalisation,University of Kassel,M.A. / Full-time / On Campus,"32,665,283 IRR / year"
Physics,University of Siegen,M.Sc. / Full-time / On Campus,Free
Biomedical Engineering,University of Lübeck,M.Sc. / Full-time / On Campus,Free
Comparative Democracy,Goethe University Frankfurt,M.A. / Full-time / On Campus,Free
"Neurosciences, Experimental and Clinical",University of Cologne,M.Sc. / Full-time / On Campus,Free
"English-Speaking Cultures - Language, Text, Media",University of Bremen,M.A. / Full-time / On Campus,Free
Geophysics,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Advanced Mineral Resource Development,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,"34,820,617 IRR / year"
Structural Chemistry and Spectroscopy,Leipzig University,"M.Sc. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Chemistry,TU Dortmund University,M.Sc. / Full-time / On Campus,Free
Global Change Management,Eberswalde University for Sustainable Development,M.Sc. / Full-time / On Campus,Free
Strategy and International Security,University of Bonn,M.A. / Full-time / On Campus,Free
Sustainability Management,RWTH Business School,M.Sc. / Full-time / On Campus,"957,926,182 IRR / year"
Research on Learning and Instruction - An Interdisciplinary Program,University of Augsburg,M.A. / Full-time / On Campus,Free
MBA Renewables,Berliner Hochschule für Technik,M.B.A. / Part-time / Online,"379,338,768 IRR / year"
Physics,University of Paderborn,M.Sc. / Full-time / On Campus,Free
Global British Studies,Leipzig University,"M.A. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Business and Psychology,The Catholic University of Eichstätt-Ingolstadt,M.Sc. / Full-time / On Campus,Free
Research Master,University of Cologne,M.A. / Full-time / On Campus,Free
Public Management and Digitalization,Zeppelin University,M.A. / Full-time / On Campus,"589,124,602 IRR / year"
Molecular Biotechnology,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Business Management,Heilbronn University of Applied Sciences,Master / Full-time / On Campus,"71,844,464 IRR / year"
Sociology - Social And Economic Psychology,University of Cologne,M.Sc. / Full-time / On Campus,Free
Renewable Energy and Data Engineering,Offenburg University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Transformation Management in Digital Societies,Zeppelin University,M.A. / Full-time / On Campus,"699,286,113 IRR / year"
Peace and Conflict Studies,Otto von Guericke University Magdeburg,M.A. / Full-time / On Campus,Free
Chemistry,University of Siegen,M.Sc. / Full-time / On Campus,Free
Global Public Health,Deggendorf Institute of Technology,M.Sc. / Full-time / On Campus,Free
Applied Linguistics,University of Bonn,M.A. / Full-time / On Campus,Free
English,University of Bonn,M.A. / Full-time / On Campus,Free
Regenerative Biology and Medicine,TU Dresden,M.Sc. / Full-time / On Campus,Free
Food Systems,University of Hohenheim,M.Sc. / Full-time / On Campus,"862,133,564 IRR / year"
European Management,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
English Linguistics,University of Tübingen,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Information Technology Management,Berlin School of Business and Innovation,M.Sc. / Full-time / On Campus,"423,068,098 IRR / year"
Economics,Trier University,M.Sc. / Full-time / On Campus,Free
Comparative and Middle East Politics and Society,University of Tübingen,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Biology in Society,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
Industrial and Environmental Biology,Hochschule Bremen,M.Sc. / Full-time / On Campus,Free
Medical Photonics,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus",Free
Quantitative Molecular Biology,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
Geography of Environmental Risks and Human Security,University of Bonn,M.Sc. / Full-time / On Campus,Free
Renewable Energy and Energy Efficiency for the Middle East and North Africa (MENA) Region (REMENA),University of Kassel,M.Sc. / Full-time / On Campus,"239,481,545 IRR / year"
Meteorology and Climate Physics,Karlsruhe Institute of Technology (KIT),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Organic and Molecular Electronics,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
Economics,University of Cologne,M.Sc. / Full-time / On Campus,Free
Applied Geosciences,Karlsruhe Institute of Technology (KIT),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Business and Economics,Schmalkalden University of Applied Sciences,M.A. / Full-time / On Campus,Free
Development Studies,University of Bayreuth,M.A. / Full-time / On Campus,"15,614,197 IRR / year"
Pharma Business Administration,Goethe Business School,M.B.A. / Part-time / On Campus,"753,169,461 IRR / year"
Cultural Production and Cultural Policy,Zeppelin University,M.A. / Full-time / On Campus,"589,124,602 IRR / year"
Innovation Management - specialisation in Shipping and Logistics,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
Innovation Management - specialisation in Shipping and Logistics,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
European Master in Business Studies,University of Kassel,M.A. / Full-time / On Campus,"119,740,773 IRR / year"
Innovation Management - specialisation in Finance,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
Business Administration - International,The Catholic University of Eichstätt-Ingolstadt,M.Sc. / Full-time / On Campus,Free
Sustainable Chemistry,Leuphana University Lüneburg,M.Sc. / Full-time / On Campus,"455,014,936 IRR / year"
Geophysics,Karlsruhe Institute of Technology (KIT),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Religion and Global Futures,University of Bayreuth,M.A. / Full-time / On Campus,Free
English and American Studies,University of Bamberg,"M.A. / Full-time, Part-time / On Campus",Free
Applied Neurosciences in Sports and Exercise,University of Paderborn,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Physics,Karlsruhe Institute of Technology (KIT),M.Sc. / Full-time / On Campus,"783,104,654 IRR / year"
Finance,EU Business School - Munich Campus,Master / Full-time / On Campus,Free
Health Economics and Health Care Management,University of Hamburg,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Philosophy and Economics,University of Bayreuth,M.A. / Full-time / On Campus,"516,705,383 IRR / year"
Sports Management,European Sports Management Academy (ESM-ACADEMY),Master / Part-time / Blended,"1,896,693,840 IRR / year"
Full Time Master of Business Administration,ESMT Berlin,M.B.A. / Full-time / On Campus,"15,614,197 IRR / year"
European Interdisciplinary Master African Studies,University of Bayreuth,M.A. / Full-time / On Campus,"33,527,416 IRR / year"
Global Studies,Leipzig University,"M.A. / Full-time, Part-time / On Campus","399,455,218 IRR / year"
Visual and Media Anthropology,Media University of Applied Sciences,M.A. / Part-time / Online,"344,853,425 IRR / year"
Digital Media Manager,University of Applied Languages,M.A. / Full-time / On Campus,"308,931,194 IRR / year"
Geophysics,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Stem Cell Medicine,Ruhr University Bochum,M.Sc. / Full-time / On Campus,"405,490,153 IRR / year"
Geology,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,"1,435,260,798 IRR / year"
Executive Master of Business Administration,EBS University of Business and Law,M.B.A. / Part-time / On Campus,Free
Biochemistry,Freie Universität Berlin,M.Sc. / Full-time / On Campus,"423,068,098 IRR / year"
Data Analytics,Berlin School of Business and Innovation,M.Sc. / Full-time / On Campus,"718,444,636 IRR / year"
MSc Strategic Digital Marketing,"Arden University, Study Center Berlin","M.Sc. / Full-time, Part-time / Online, On Campus","15,614,197 IRR / year"
Finance and Information Management,University of Bayreuth,M.Sc. / Full-time / On Campus,Free
Business Administration - Marketing,University of Cologne,M.Sc. / Full-time / On Campus,"718,444,636 IRR / year"
MSc Supply Chain Management and Logistics,"Arden University, Study Center Berlin","M.Sc. / Full-time, Part-time / Online, On Campus","239,481,545 IRR / year"
International Studies in Intellectual Property Law,TU Dresden,LL.M. / Full-time / On Campus,"790,289,100 IRR / year"
MBA,"Arden University, Study Center Berlin",M.B.A. / Full-time / On Campus,"342,075,440 IRR / year"
Solar Energy Engineering,University of Freiburg,M.Sc. / Part-time / Online,"945,952,105 IRR / year"
Engineering Management (On-Campus),IU International University of Applied Sciences,M.Sc. / Part-time / On Campus,"516,130,627 IRR / year"
Management - International Marketing (On-Campus),IU International University of Applied Sciences,M.A. / Part-time / On Campus,"945,952,105 IRR / year"
MBA Healthcare Management (On-Campus),IU International University of Applied Sciences,M.B.A. / Full-time / On Campus,"718,444,636 IRR / year"
Part Time Master of Business Administration,ESMT Berlin,M.B.A. / Part-time / Blended,"718,444,636 IRR / year"
MBA Innovation and Entrepreneurship (On-Campus),IU International University of Applied Sciences,M.B.A. / Full-time / On Campus,Free
MBA International Marketing (On-Campus),IU International University of Applied Sciences,M.B.A. / Full-time / On Campus,"718,444,636 IRR / year"
